epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.802,2.12024,3.67747,1.89553,0.29595,0.26747,0.20296,0.08481,2.11566,2.69096,1.8325,0.000370003,0.000370003,0.000370003
2,577.164,2.03307,2.62757,1.82783,0.26903,0.27119,0.19383,0.0796,2.13511,2.78788,1.87041,0.000667043,0.000667043,0.000667043
3,847.761,2.01426,2.50889,1.82389,0.36361,0.31095,0.25903,0.1096,2.07969,2.53503,1.80718,0.000890757,0.000890757,0.000890757
4,1116.85,1.93804,2.33512,1.76068,0.43002,0.3529,0.32523,0.14867,1.96991,2.34519,1.74077,0.000781033,0.000781033,0.000781033
5,1386.05,1.87692,2.20617,1.70741,0.43924,0.36683,0.35138,0.1615,1.93022,2.25539,1.69485,0.000671044,0.000671044,0.000671044
6,1657.23,1.82954,2.10748,1.66804,0.48199,0.40211,0.39666,0.18958,1.87564,2.14061,1.6556,0.000561055,0.000561055,0.000561055
7,1929.08,1.78531,2.01348,1.63324,0.50538,0.43049,0.43158,0.21581,1.82653,2.04076,1.59162,0.000451066,0.000451066,0.000451066
8,2200.52,1.7487,1.92876,1.59935,0.52372,0.45505,0.4608,0.23145,1.81456,1.9931,1.57465,0.000341077,0.000341077,0.000341077
9,2473.24,1.7182,1.86296,1.577,0.53349,0.47301,0.47561,0.2434,1.78297,1.93247,1.54716,0.000231088,0.000231088,0.000231088
10,2745.37,1.67868,1.7869,1.54771,0.54081,0.48022,0.49708,0.25832,1.76321,1.89567,1.5508,0.000121099,0.000121099,0.000121099
